License plate,Frame no.,Timestamp(seconds),Occurences
XS-NB-23,9,0.747,13
98-THD-4,37,3.071,33
23-GSX-6,73,6.059,50
72-VGX-6,110,9.13,15
99-SZG-5,145,12.035,67
14-NJK-9,181,15.023,54
24-LB-HT,217,18.011,57
68-NS-ND,253,20.999,34
97-FB-FP,290,24.07,30
67-FP-SJ,327,27.141,9
96-LKH-9,363,30.129,29
56-JTT-5,397,32.951,36
88-BB-TS,434,36.022,31
56-JTT-5,469,38.927,35
ZD-PB-67,505,41.915,7
02-BBG-7,577,47.891,32
73-PV-HB,614,50.962,18
93-PXS-9,654,54.282,6
RP-NL-93,687,57.021,2
43-HNN-2,721,59.843,67
43-JS-RT,757,62.831,27
63-HK-HD,793,65.819,25
92-LHR-6,829,68.807,49
63-HK-HD,865,71.795,21
3-VFX-39,903,74.949,41
01-XJ-ND,937,77.771,42
96-ND-JB,974,80.842,40
57-LF-JB,1014,84.162,12
VD-020-P,1045,86.735,50
5-SXB-74,1085,90.055,30
23-GSR-5,1139,94.537,36
27-LH-TB,1185,98.355,15
XH-PN-44,1256,104.248,16
01-RHD-6,1293,107.319,29
69-GR-DH,1340,111.22,32
64-LJ-GF,1379,114.457,35
41-GFZ-8,1425,118.275,18
28-RXT-9,1471,122.093,23
89-LZ-GX,1520,126.16,33
05-GH-JS,1624,134.792,5
25-XV-LX,1661,137.863,4
188-X-9-S,1718,142.594,1
H-31-HX-45,1735,144.005,2
HV-344-X-45,1737,144.171,1
HV-44-X-45,1749,145.167,2
HVR431X45,1763,146.329,1
10-NV-331,1768,146.744,25
DS-5-XB-DD,1805,149.815,6
DP-98-900,1840,152.72,1
0-P-989-D-0,1844,153.052,7
XXT-31-47,1876,155.708,39
178-S-04-N,1924,159.692,2
77-TR-SH,1948,161.684,25
GN-85-20-J,1984,164.672,11
85-GJ-45,2020,167.66,2
